Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
29754773499,"[Hỏa Tốc + Voucher 15%] Set 5 Gói Mì Tươi Bò Xốt Vang/Thịt Bằm/Tôm Chua Cay VIFON - Sợi Dai Ngon, 70g/Gói","40,1k",700k+,VIFON ,"14,5%",₫5.612,https://shopee.vn/product/64611946/29754773499,https://s.shopee.vn/3qMmeKdn5g
24448008797,Dép Sục MC21 Clog Classic EVA đế 3p Đúc Nam Nữ ÊM NHẸ,"68,0k",4k+,Cat Slipper,7%,₫4.760,https://shopee.vn/product/450246370/24448008797,https://s.shopee.vn/3g3MS1eQQf
46859620849,[SIÊU TIẾT KIỆM] Khăn Giấy Pio TopGia Đa Năng Cao Cấp Thùng 10 8 5 4 Siêu Dai Mềm Mịn 200 Lần Rút,"69,0k",1tr+,TopGia HCM,"10,5%",₫6.900,https://shopee.vn/product/729014007/46859620849,https://s.shopee.vn/3VjwFif3le
13976167937,[THE SAEM] Che khuyết điểm chống nắng che phủ cao THE SAEM Cover Perfection Tip Concealer,"134,0k",300k+,the SAEM Official Store,"12,5%",₫16.080,https://shopee.vn/product/208011437/13976167937,https://s.shopee.vn/3LQW3Pfh6d
17494405729,[BUDDY] Quần đùi kate ngủ mặc nhà form thoải mái - G9 BOXER,"85,0k",100k+,The Buddy Shop,13%,₫11.050,https://shopee.vn/product/184378503/17494405729,https://s.shopee.vn/1qbiGelP9M
26517116246,Bộ quần áo thun lạnh tay dài quần dài MDKIDS cho bé trai và bé gái 5-15kg.,"67,5k",100k+,MDKids Store,15%,₫10.125,https://shopee.vn/product/1387887030/26517116246,https://s.shopee.vn/1gII4Lm2UL
41818233297,"[NE50] [Tặng Charm] Dép Sục NESTY Không Thấm Nước, Nhẹ, Êm Chân 3cm Full Size Gia Đình ( KO1 )","134,6k",100k+,Nesty Official Store,19%,₫25.582,https://shopee.vn/product/1113586002/41818233297,https://s.shopee.vn/1Vyrs2mfpK
43508358436,Combo 20 chân gà rút xương tê cay - ĂN CÙNG BÀ TUYẾT M28,"198,5k",200k+,Ăn Cùng Bà Tuyết,"12,5%",₫23.820,https://shopee.vn/product/279658061/43508358436,https://s.shopee.vn/1LfRfjnJAJ
40469885344,Sữa tắm Lifebuoy Thiên nhiên Detox Và Chăm Sóc Chuyên Sâu 800g,"234,0k",200k+,Unilever - Chăm Sóc Cá Nhân,"4,5%",₫9.360,https://shopee.vn/product/111138057/40469885344,https://s.shopee.vn/2VrP3sirnY
28576052647,"[SIÊU TO, CAO CẤP] Giấy vệ sinh treo tường TopGia thùng 10 12 8 6 bịch đa sắc, combo tiết kiệm 1280 tờ","139,0k",200k+,TopGia HCM Store,"11,5%",₫15.290,https://shopee.vn/product/1016604648/28576052647,https://s.shopee.vn/2LXyrZjV8X
